smartphone_id,megapixels,typelens,beeldstabilisatie,diafragma
sam_827023,12 MP,Telelens,Ja,"2,4"
sam_820617,5 MP,Telelens,Nee,"2,2"
sam_827074,12 MP,Telelens,Ja,"2,4"
sam_828145,5 MP,Standaard,Nee,"2,2"
nok_827613,12 MP,Monochroom,Ja,"1,82"
sam_820610,5 MP,Telelens,Nee,"2,2"
hua_821689,8 MP,Telelens,Nee,"2,4"
sam_820615,5 MP,Telelens,Nee,"2,2"
hua_828432,8 MP,Telelens,Ja,"1,4"
hua_821691,8 MP,Telelens,Nee,"2,4"
hua_828512,8 MP,Telelens,Ja,"1,4"
hua_828507,8 MP,Telelens,Nee,"2,4"
sam_828144,5 MP,Standaard,Nee,"2,2"
sam_827256,12 MP,Telelens,Ja,"2,4"
sam_827077,12 MP,Telelens,Ja,"2,4"
hua_828517,8 MP,Telelens,Ja,"1,4"
sam_824929,5 MP,Telelens,Nee,"2,2"
sam_827042,12 MP,Telelens,Ja,"2,4"
hua_828514,8 MP,Telelens,Ja,"1,4"
sam_827045,12 MP,Telelens,Ja,"2,4"
sam_827075,12 MP,Telelens,Ja,"2,4"
hua_828509,8 MP,Telelens,Nee,"2,4"
sam_828147,5 MP,Standaard,Nee,"2,2"
hua_828513,8 MP,Telelens,Ja,"1,4"
hua_805276,8 MP,Telelens,Nee,"1,6"
hua_811967,8 MP,Telelens,Nee,"1,6"
sam_827254,12 MP,Telelens,Ja,"2,4"
hua_828516,8 MP,Telelens,Ja,"1,4"
sam_827046,12 MP,Telelens,Ja,"2,4"
sam_827076,12 MP,Telelens,Ja,"2,4"
hua_829106,8 MP,Telelens,Ja,"1,4"
hua_828508,8 MP,Telelens,Nee,"2,4"
hua_821690,8 MP,Telelens,Nee,"2,4"
xia_828047,12 MP,Telelens,Nee,"2,2"
sam_829627,12 MP,Telelens,Ja,"2,4"
sam_829628,12 MP,Telelens,Ja,"2,4"
hua_806994,8 MP,Telelens,Nee,"1,6"
sam_827286,12 MP,Telelens,Ja,"2,4"
sam_828146,5 MP,Standaard,Nee,"2,2"
sam_826995,12 MP,Telelens,Ja,"2,4"
lg_825677,12 MP,Telelens,Ja,"2,4"
xia_828048,12 MP,Telelens,Nee,"2,2"
sam_826996,12 MP,Telelens,Ja,"2,4"
xia_828045,12 MP,Telelens,Nee,"2,2"
hua_821693,8 MP,Telelens,Nee,"2,4"
hua_821694,8 MP,Telelens,Nee,"2,4"
hua_821692,8 MP,Telelens,Nee,"2,4"
xia_828046,12 MP,Telelens,Nee,"2,2"
